volume,family_name,genus_name,genus_label,genus_index_parsed,species_scientific_name,thailand,distribution,ecology,family_url,genus_url,species_url,specific_name
2,Icacinaceae,10 Pyrenacantha,Pyrenacantha,10.0,Pyrenacantha volubilis Wight,"NORTH-EASTERN: Loei (Phu Kradueng), once found.","S India, Ceylon, Vietnam, Hainan.",,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Icacinaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Pyrenacantha&tdcode=00172,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00173,Pyrenacantha volubilis Wight
2,Connaraceae,4 Rourea (in part),Rourea (in part),4.0,Rourea sp.,SOUTH-EASTERN: Chanthaburi.,,Evergreen forests. Fruiting April–June.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Connaraceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rourea&tdcode=00230,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00234,Rourea sp.
2,Connaraceae,5 Ellipanthus,Ellipanthus,5.0,Ellipanthus tomentosus Kurz,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Connaraceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ellipanthus&tdcode=00235,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00236,Ellipanthus tomentosus Kurz
2,Connaraceae,6 Connarus,Connarus,6.0,Connarus monocarpus L.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Connaraceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Connarus&tdcode=00239,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00244,Connarus monocarpus L.
2,Apostasiaceae,1 Neuwiedia,Neuwiedia,1.0,Neuwiedia zollingeri Reichb.f.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Apostasiaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Neuwiedia&tdcode=00248,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00250,Neuwiedia zollingeri Reichb.f.
2,Theaceae,8 Eurya,Eurya,8.0,Eurya acuminata DC.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Theaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Eurya&tdcode=00290,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00291,Eurya acuminata DC.
2,Theaceae,8 Eurya,Eurya,8.0,Eurya nitida Korth.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Theaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Eurya&tdcode=00290,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00294,Eurya nitida Korth.
2,Balanophoraceae,Balanophora,Balanophora,,Balanophora fungosa subsp. indica (Arn.) B.Hansen,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Balanophoraceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Balanophora&tdcode=00325,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00328,Balanophora fungosa subsp. indica (Arn.) B.Hansen
2,Cycadaceae,Cycas,Cycas,,Cycas pectinata Griff.,"NORTHERN: Chiang Mai, Phrae, Sukhothai; NORTH-EASTERN: Loei (Phu Kradueng); CENTRAL: Lop Buri; PENINSULAR: Chumphon, Surat Thani, Krabi, Nakhon Si Thammarat, Satun, Yala.","N India (Assam – type), Nepal, Sikkim, S China (Kweichow), Bangladesh (Chittagong), Burma, Laos?, Vietnam, Cambodia, Malesia.","In evergreen forests and pine forests, frequently found on limestone-bearing soil and open limestone cliffs and ridges of 600–2,000 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Cycadaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Cycas&tdcode=00339,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00343,Cycas pectinata Griff.
2,Cycadaceae,Cycas,Cycas,,Cycas micholitzii Dyer,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Cycadaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Cycas&tdcode=00339,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00345,Cycas micholitzii Dyer
2,Podocarpaceae,Dacrydium,Dacrydium,,Dacrydium elatum (Roxb.) Wall. ex Hook.,"NORTHERN: Phitsanulok; NORTH-EASTERN: Phetchabun, Loei; EASTERN: Nakhon Ratchasima, Chaiyaphum; CENTRAL: Nakhon Nayok; SOUTH-EASTERN: Trat.","India, Burma, Cambodia, Malesia (type, Malaya).","By streams in lower montane forests on sandstone formation, 1,000–1,300 m alt. Flowering: January–February; fruiting: rather late about August–September.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Podocarpaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Dacrydium&tdcode=00358,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00359,Dacrydium elatum (Roxb.) Wall. ex Hook.
2,Smilacaceae,1 Smilax,Smilax,1.0,Smilax zeylanica L.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Smilacaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Smilax&tdcode=00381,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00388,Smilax zeylanica L.
2,Smilacaceae,1 Smilax,Smilax,1.0,Smilax extensa A.DC.,"SOUTH-EASTERN: Rayong, Trat.",Malay Peninsula (type from Penang).,"Tropical evergreen forests, 50–1,000 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Smilacaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Smilax&tdcode=00381,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00394,Smilax extensa A.DC.
2,Smilacaceae,1 Smilax,Smilax,1.0,Smilax rigida Wall. ex Kunth,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Smilacaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Smilax&tdcode=00381,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00409,Smilax aspera
2,Smilacaceae,1 Smilax,Smilax,1.0,Smilax microphylla C.H.Wright,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Smilacaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Smilax&tdcode=00381,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00406,Smilax microphylla C.H.Wright
2,Smilacaceae,1 Smilax,Smilax,1.0,Smilax bracteata C.Presl,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Smilacaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Smilax&tdcode=00381,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00384,Smilax bracteata C.Presl
2,Smilacaceae,1 Smilax,Smilax,1.0,Smilax corbularia Kunth,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Smilacaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Smilax&tdcode=00381,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00415,Smilax corbularia Kunth
2,Magnoliaceae,6 Michelia,Michelia,6.0,Michelia sp.,NORTHERN: Phitsanulok (Phu Miang); NORTH-EASTERN: Loei (Phu Kradueng).,Probably endemic to Thailand.,"Scattered in lower montane forests or along its edges, at medium altitudes (1,200–1,300 m).",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Magnoliaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Michelia&tdcode=00441,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00447,Michelia sp.
2,Ebenaceae,Diospyros,Diospyros,,Diospyros coaetanea H.R.Fletcher,"NORTHERN: Mae Hong Son, Lampang, Phitsanulok.",Endemic to Thailand (type: Kerr 5466 -BM).,"In mixed deciduous forests, 300–400 m alt. Flowering: March–May.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Ebenaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Diospyros&tdcode=00474,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00540,Diospyros coaetanea H.R.Fletcher
2,Irvingiaceae,Irvingia,Irvingia,,Irvingia malayana Oliv. ex A.W.Benn.,Throughout the country.,"India, Burma, Laos, Cambodia, Vietnam, Malaya (type), Sumatra, Borneo.","Frequent in dry deciduous dipterocarp forests, dry evergreen forests and also in tropical rain forests, below 300 m alt. Flowering: January–March; fruiting: February–April.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Irvingiaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Irvingia&tdcode=00552,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00553,Irvingia malayana Oliv. ex A.W.Benn.
2,Casuarinaceae,Casuarina,Casuarina,,Casuarina equisetifolia L. ex J.R.Forst. & G.Forst.,"SOUTH-WESTERN: Prachuap Khiri Khan, Phetchaburi; PENINSULAR: Phangnga, Phuket, Songkhla, Narathiwat.","India, Burma, Vietnam, throughout Malesia, Java, Australia and Polynesia.","Along seashores on sandy beaches, from the sea level up to 30 m alt. in Thailand, cultivated up to 1,100–1,300 m alt. Flowering and fruiting: January–March.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Casuarinaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Casuarina&tdcode=00555,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00556,Casuarina equisetifolia L. ex J.R.Forst. & G.Forst.
2,Elaeocarpaceae,2 Elaeocarpus,Elaeocarpus,2.0,Elaeocarpus prunifolius Wall. ex C.Muell.,"NORTHERN: Chiang Mal, Lampang; NORTH-EASTERN: Loei.","India (type), Burma, China.","In lower montane forests, 1,100–1,300 m alt. Flowering: June–July.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Elaeocarpaceae&volumeno=2,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Elaeocarpus&tdcode=00565,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00579,Elaeocarpus prunifolius Wall. ex C.Muell.
3,Lycopodiaceae,Lycopodium,Lycopodium,,Lycopodium piscium (Herter) Tagawa & K.Iwats.,"PENINSULAR: Nakhon Si Thammarat (Khao Luang), Trang (Khao Chong).",Malesia (type from Java).,On mossy tree-trunks in dense evergreen forests below 800 m alt.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Lycopodiaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Lycopodium&tdcode=F0007,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0012,Huperzia pinifolia
3,Lycopodiaceae,Lycopodium,Lycopodium,,Lycopodium nummulariifolium Blume,"PENINSULAR: Nakhon Si Thammarat (Khiriwong, Khao Luang), Narathiwat (Waeng), Yala (Betong, Khao Kalakhiri).",Malesia (type from Java) to Polynesia.,On tree-trunks in evergreen forests at lower to middle altitudes.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Lycopodiaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Lycopodium&tdcode=F0007,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=F0014,Huperzia nummulariifolia
3,Selaginellaceae,Selaginella,Selaginella,,Selaginella ostenfeldii Hieron.,"NORTHERN: Chiang Mai (Doi Suthep, Mae Klang, Doi Inthanon, Ban Klang, Mae Lan, Bo Luang), Mae Hong Son (Mae La Noi), Lampang (Doi Phalat, Huai Thak, Mae Ngao, Mae Mo), Lamphun (Doi Khun Tan), Phrae (Mae Ban), Tak (Lan Sang, Rahaeng, Wang Chao – type), Nakhon Sawan (Ban Takhli); NORTH-EASTERN: Loei (Phu Kradueng); SOUTH-WESTERN: Kanchanaburi (Khao Tong), Prachuap Khiri Khan (Khao Nam Tok, Hua Hin, Thap Sakae); PENNINSULAR: Surat Thani (Khao Pak Chong).",Burma (Shan State and Moulmein) and Indochina (Cochin-china and Cambodia).,"Terrestrial on rather dry slope in deciduous or mixed forests, at lower to middle altitudes (to 1,400 m on Doi Inthanon).",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Selaginellaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Selaginella&tdcode=F0018,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0019,Selaginella ostenfeldii Hieron.
3,Selaginellaceae,Selaginella,Selaginella,,Selaginella roxburghii (Hook. & Grev.) Spring,"NORTHERN: Chiang Mai (Fang, Doi Chiang Dao, Doi Suthep, Mae Klang); NORTH-EASTERN: Loei (Phu Kradueng); CENTRAL: Nakhon Nayok (Khao Yai); SOUTH-EASTERN: Trat (Ko Chang); PENINSULAR: Nakhon Si Thammarat (Khao Luang), Narathiwat (Su-ngai Padi).","Malaya (type), Sumatra.",Terrestrial on rather dry ground in light shade at low to medium altitudes.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Selaginellaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Selaginella&tdcode=F0018,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0036,Selaginella roxburghii (Hook. & Grev.) Spring
3,Selaginellaceae,Selaginella,Selaginella,,Selaginella strigosa Bedd.,PENINSULAR: Yala (Kuelong Falls).,Malaya (type).,At low altitudes.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Selaginellaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Selaginella&tdcode=F0018,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0037,Selaginella strigosa Bedd.
3,Selaginellaceae,Selaginella,Selaginella,,Selaginella minutifolia Spring,"NORTHERN: Chiang Mai (Doi Phahom Pok, Doi Chiang Dao, Doi Suthep), Phitsanulok (Thung Salaeng Luang); PENINSULAR: Ranong (La-un), Trang (Khao Chong).","Burma (type), Malaya, Indochina (Cambodia, Cochinchina).",Terrestrial on rather dry sandy slopes or on moist cliffs in mixed forests.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Selaginellaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Selaginella&tdcode=F0018,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0043,Selaginella minutifolia Spring
3,Selaginellaceae,Selaginella,Selaginella,,Selaginella lindhardtii Hieron.,NORTHERN: Tak (Rahaeng – type); CENTRAL: Krung Thep Maha Nakhon (Bangkok); SOUTH-WESTERN: Ratchaburi (Ang Hin).,Endemic.,Terrestrial in bamboo forests or on shady brick-walls at low altitudes.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Selaginellaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Selaginella&tdcode=F0018,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0044,Selaginella lindhardtii Hieron.
3,Selaginellaceae,Selaginella,Selaginella,,Selaginella tenuifolia Spring,"NORTHERN: Chiang Rai (Doi Phacho), Chiang Mai (Doi Phahom Pok, Doi Chiang Dao) Lamphun (Doi Khun Tan), Phrae (Mae Ban).",N India (type) to Burma and Laos.,"Terrestrial on rather dry slopes in not so dense forests at 900–1,200 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Selaginellaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Selaginella&tdcode=F0018,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0045,Selaginella tenuifolia Spring
3,Selaginellaceae,Selaginella,Selaginella,,Selaginella chrysorrhizos Spring,"NORTHERN: Chiang Rai (Doi Tung), Chiang Mai (Doi Chiang Dao, Doi Suthep, Mae Klang), Lamphun (Doi Khun Tan), Phitsanulok (Thung Salaeng Luang, Phu Miang), Tak (Doi Musoe); NORTH-EASTERN: Loei (Phu Kradueng).","Assam (type), Burma, Indochina (Vietnam, Laos).",Terrestrial on clayey slopes or on muddy rocks in forests at medium altitudes.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Selaginellaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Selaginella&tdcode=F0018,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0046,Selaginella chrysorrhizos Spring
3,Schizaeaceae,2 Lygodium,Lygodium,2.0,Lygodium circinnatum (Burm.f.) Sw.,"PENINSULAR: Surat Thani (Ko Pha-ngan, Ban Don), Phangnga (Ko Khian), Narathiwat (Su-ngai Padi), Yala (Bo Hin, Bannang Sata).","Ceylon, NE India, throughout Malesia (type from Java) to Micronesia and the Solomons.",In light shade in tropical evergreen forests at low or medium altitudes.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Schizaeaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Lygodium&tdcode=F0099,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=F0106,Lygodium circinnatum (Burm.f.) Sw.
3,Hymenophyllaceae,14 Macroglena,Macroglena,14.0,Macroglena gemmata (J.Sm. ex Baker) Copel.,PENINSULAR: Nakhon Si Thammarat (Khao Luang).,"Malaya (type), Borneo.",On moist clayey slope in dense forests at high altitudes.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Hymenophyllaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Macroglena&tdcode=F0158,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0160,Trichomanes gemmatum
3,Lindsaeaceae,1 Lindsaea,Lindsaea,1.0,Lindsaea repens (Bory) Thwaites & Hook.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Lindsaeaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Lindsaea&tdcode=F0200,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0218,Lindsaea repens (Bory) Thwaites & Hook.
3,Davalliaceae,4 Humata,Humata,4.0,Humata angustata (Hook. & Grev.) J.Sm.,"PENINSULAR: Songkhla (Khao Khieo), Yala (Betong).",W Malesia (type from Singapore).,On mossy tree-trunks in dense forests.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Davalliaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Humata&tdcode=F0247,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0251,Davallia angustata
3,Parkeriaceae,4 Coniogramme,Coniogramme,4.0,Coniogramme fraxinea (D.Don) Diels,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Parkeriaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Coniogramme&tdcode=F0279,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0281,Coniogramme fraxinea (D.Don) Diels
3,Parkeriaceae,11 Cheilanthes,Cheilanthes,11.0,Cheilanthes rufa D.Don,NORTHERN: Chiang Mai (Doi Chiang Dao).,Himalaya: Nepal (type) to Assam.,"In crevices of exposed limestone cliffs in mixed forests at medium altitudes (900–1,100 m).",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Parkeriaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Cheilanthes&tdcode=F0297,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=F0303,Hemionitis gmorgana
