volume,family_name,genus_name,genus_label,genus_index_parsed,species_scientific_name,thailand,distribution,ecology,family_url,genus_url,species_url,specific_name,wfo_id,source,match_type,Species,Plant ID,Letter,DataSheetURL,temp_opt_min,temp_opt_max,temp_abs_min,temp_abs_max,rain_opt_min,rain_opt_max,rain_abs_min,rain_abs_max,ph_opt_min,ph_opt_max,ph_abs_min,ph_abs_max
4.0,Leguminosae-Mimosoideae,2 Adenanthera,Adenanthera,2.0,Adenanthera pavonina L.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Leguminosae-Mimosoideae&volumeno=4,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Adenanthera&tdcode=00786,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00787,Adenanthera pavonina L.,,missing,B_core_exact,Adenanthera pavonina,318,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=318,22.0,28.0,12.0,36.0,3000.0,5000.0,2000.0,6000.0,5.0,7.0,4.5,7.5
3.0,Parkeriaceae,12 Adiantum,Adiantum,12.0,Adiantum capillus-veneris L.,"NORTHERN: Chiang Mai (Mae Ping Rapids), Lampang, Tak (Lan Sang); NORTH-EASTERN: Loei (Si Than); CENTRAL: Saraburi (Muak Lek); SOUTH-WESTERN: Kanchanaburi (Erawan Falls), Prachuap Khiri Khan (Ta Mong Lai); PENINSULAR: Chumphon.","Tropical, subtropical, and warm temperate regions throughout the world (type from S Europe).",In muddy crevices of cliffs or on mossy rocks by streams usually in spray in light shade at low altitudes.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Parkeriaceae&volumeno=3,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Adiantum&tdcode=F0305,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0313,Adiantum capillus-veneris L.,,present,B_core_exact,Adiantum capillus-veneris,2823,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2823,,,,,,,,,,,,
15.0,Rubiaceae,7. Adina ( A. dissimilis ),Adina ( A. dissimilis ),7.0,Adina cordifolia (Roxb.) Benth. & Hook.f. ex B.D.Jacks.,"NORTHERN: Mae Hong Son, Chiang Mai, Lamphun, Lampang, Phrae, Nakhon Sawan; NORTH-EASTERN: Loei, Nong Bua Lum Phu, Mukdahan, Khon Kaen; EASTERN: Nakhon Ratchasima, Ubon Ratchathani; SOUTH-WESTERN: Uthai Thani, Kanchanaburi, Phetchaburi; CENTRAL: Saraburi; SOUTH-EASTERN: Prachin Buri,Chon Buri, Canthaburi; PENINSULAR: Surat Thani.","India (type), Sri Lanka eastwards to S China, Laos, Cambodia and Vietnam, also in northernmost Peninsular Malaysia (Perlis).","Mostly in deciduous vegetation (mixed deciduous forests decidous dipterocarp-oak forests, deciduous forests with bamboo), also over limestone, sometimes associated with seasonal rain forests, occasionally left as shade tree in between rice and cassava fields, 250–550 m alt. Flowering: January–July; fruiting: (July), September–February.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Adina&tdcode=07737,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07738,Adina cordifolia (Roxb.) Hook.f.,,present,B_core_exact,Adina cordifolia,2824,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2824,25.0,35.0,5.0,47.0,1000.0,2000.0,800.0,4500.0,5.5,6.5,5.0,7.5
6.0,Myrsinaceae,7 Aegiceras,Aegiceras,7.0,Aegiceras corniculatum (L.) Blanco,"SOUTH-EASTERN: Trat; PENINSULAR: Surat Thani, Phangnga, Phuket, Krabi, Trang, Satun.","Widely distributed along the shores from India, Burma, Indochina, S China to the Philippines, and southwards through Malesia to tropical Australia.",In littoral muddy swamps and in mangrove forests. Flowering: December–February; fruiting: October–December.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Myrsinaceae&volumeno=6,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Aegiceras&tdcode=01713,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=01714,Aegiceras corniculatum (L.) Blanco,,present,B_core_exact,Aegiceras corniculatum,2830,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2830,18.0,26.0,7.0,35.0,1000.0,2000.0,800.0,4000.0,6.8,7.2,6.5,7.5
4.0,Leguminosae-Papilionoideae,Aeschynomene,Aeschynomene,,Aeschynomene americana L.,"NORTHERN: Chiang Mai (Hot, Mae Rim), Chiang Rai (Doi Tung, San Kam Phaeng, Tham Luang-Khun Nam Nang Non NP), Phayao, Nan (Song Kwae), Lampang, Phrae (Mae Yom NP), Tak (Doi Musoe, Mae Sot Umphang), Sukhothai (Ban Dan Lan Hoi, Mueang Kao), Phitsanulok (Noen Maprang); NORTH-EASTERN: Loei (Chiang Khan, Mueang District), Khon Kaen; EASTERN: Chaiyaphum (Phu Khiao), Nakhon Ratchasima (Khao Yai NP); CENTRAL: Phra Nakhon Si Ayutthaya, Saraburi (Sam Lan), Nakhon Nayok (Salika Falls); SOUTH-EASTERN: Chon Buri (Sattahip); PENINSULAR: Krabi (Plai Phraya), Satun (Thale Ban), Songkhla (Hat Yai).","Widespread in tropical and subtropical America (Jamaica – type), China, Vietnam, Singapore, Borneo, Celebes, Java, New Guinea, Okinawa Island.","In wet places, paddy field, freshwater swamps, along roadsides, open, disturbed in mixed evergreen and deciduous forests and bamboo thicket, from sea level to 1,225 m alt. Flowering and fruiting: August–December.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Leguminosae-Papilionoideae&volumeno=4,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Aeschynomene&tdcode=07501,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07502,Aeschynomene americana L.,,present,B_core_exact,Aeschynomene americana,326,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=326,22.0,30.0,7.0,35.0,1000.0,1500.0,600.0,4000.0,5.5,7.0,4.0,8.0
4.0,Leguminosae-Papilionoideae,Aeschynomene,Aeschynomene,,Aeschynomene indica L.,"NORTHERN: Chiang Mai (Fang, Phrao), Chiang Rai, Phayao (Kwan Phayao), Nan (Doi Phu Kha NP), Tak (Wang Chao), Phitsanulok (Pha Mui Daeng to Wat Hua Kao, Wang Thong); NORTH-EASTERN: Loei (Na Haeo); EASTERN: Si Sa Ket (Uthum Phon Phisai); CENTRAL: Ang Thong, Nakhon Pathom (Salaya), Krung Thep Maha Nakhon (Bangkok) (Bangkhen); SOUTH-EASTERN: Prachin Buri, Chachoengsao, Rayong (Klaeng), Chanthaburi (Pong Nam Ron); PENINSULAR: Chumphon, Songkhla (Chana).","Africa, Tropical Asia (India – type), Japan, Australia.","In sunny sites, wet places, along roadsides, paddy fields, swampy areas, from sea level to 1,500 m alt. Flowering and fruiting: July–November.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Leguminosae-Papilionoideae&volumeno=4,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Aeschynomene&tdcode=07501,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07504,Aeschynomene indica L.,,present,B_core_exact,Aeschynomene indica,2852,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2852,18.0,30.0,10.0,35.0,1000.0,1200.0,600.0,2000.0,5.5,6.5,4.5,8.0
4.0,Leguminosae-Mimosoideae,9 Albizia,Albizia,9.0,Albizia chinensis (Osbeck) Merr.,"N0RTHERN: Chiang Mai, Phrae, Nan, Lampang, Phitsanulok; NORTH-EASTERN: Loei; SOUTH-WESTERN: Kanchanaburi.","Tropical and subtropical Asia (S China – type), also cultivated.","Evergreen and deciduous forests, savannas, riverbanks, up to ca 1,800 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Leguminosae-Mimosoideae&volumeno=4,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Albizia&tdcode=00833,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00837,Albizia chinensis (Osb.) Merr.,,present,B_core_exact,Albizia chinensis,2959,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2959,22.0,32.0,15.0,45.0,2500.0,3500.0,1000.0,5000.0,5.5,7.3,4.5,8.5
4.0,Leguminosae-Mimosoideae,9 Albizia,Albizia,9.0,Albizia lebbeck (L.) Benth.,"NORTHERN: Chiang Rai, Lampang, Uttaradit; NORTH-EASTERN: Loei, Phetchabun; EASTERN: Chaiyaphum, Nakhon Ratchasima; CENTRAL: Lop Buri, Pathum Thani, Krung Thep Maha Nakhon (Bangkok); SOUTH-WESTERN: Kanchanaburi; PENINSULAR: Chumphon, Surat Thani, Krabi.",Tropical-and subtropical Asia and Africa (Egypt – type) but introduced and cultivated all over the Tropics.,"Often common in deciduous forests, up to 500 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Leguminosae-Mimosoideae&volumeno=4,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Albizia&tdcode=00833,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00836,Albizia lebbeck (L.) Benth.,,present,B_core_exact,Albizia lebbeck,349,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=349,26.0,36.0,12.0,48.0,600.0,2000.0,500.0,2500.0,6.0,7.0,5.5,8.5
4.0,Leguminosae-Mimosoideae,9 Albizia,Albizia,9.0,Albizia odoratissima (L.f.) Benth.,"NORTHERN: Chiang Mai, Lamphun, Lampang, KamphaengPhet, Nakhon Sawan, Nan, Phrae, Uttaradit; NORTH-EASTERN: Loei; EASTERN: Chaiyaphum; SOUTH-EASTERN: Chon Buri; SOUTH-WESTERN: Kanchanaburi.","India (type), Ceylon, Tropical and Subtropical SE Asia (except Malay Peninsula), also cultivated.","In hill evergreen forests, dry deciduous forests (common), up to ca 1,000 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Leguminosae-Mimosoideae&volumeno=4,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Albizia&tdcode=00833,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00844,Albizia odoratissima (L.f.) Benth.,,present,B_core_exact,Albizia odoratissima,2966,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2966,24.0,37.0,5.0,48.0,1000.0,1500.0,600.0,3000.0,5.5,6.5,4.5,7.5
4.0,Leguminosae-Mimosoideae,9 Albizia,Albizia,9.0,Albizia procera (Roxb.) Benth.,"NORTHERN: Chiang Rai; EASTERN: Nakhon Ratchasima; CENTRAL: Nakhon Nayok, Krung Thep Maha Nakhon (Bangkok), Saraburi; PENINSULAR: Phuket.","Tropical Asia (except Malay Peninsula), NE Australia, (India – type), also cultivated.","Evergreen forests, up to ca 400 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Leguminosae-Mimosoideae&volumeno=4,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Albizia&tdcode=00833,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00840,Albizia procera (Roxb.) Benth.,,present,B_core_exact,Albizia procera,350,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=350,20.0,33.0,10.0,45.0,1500.0,2500.0,780.0,5100.0,5.5,6.5,5.0,7.5
7.0,Alismataceae,1. Alisma,Alisma,1.0,Alisma plantago-aquatica L.,"NORTHERN: Mae Hong Son, Chiang Mai.",Widespread throughout most of Europe (type Sweden) and Asia.,"In muddy soil or water to 0.5 m deep of streams, rivers, lakes, and marshes. The only collection from Thailand was collected at alt. 1,200 (Kerr 5439).",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Alismataceae&volumeno=7,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alisma&tdcode=02511,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=02512,Alisma plantago-aquatica L.,,present,B_core_exact,Alisma plantago-aquatica,12200,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=12200,8.0,18.0,6.0,24.0,500.0,1500.0,400.0,1700.0,5.0,7.0,4.5,7.5
14.0,Betulaceae,Alnus,Alnus,,Alnus nepalensis D.Don,NORTH-EASTERN: Loei (Phu Luang).,"India, Nepal (type), Bhutan, Bangladesh, Myanmar, China, Vietnam.","Rare, along slopes at edges of lower montane rain forests, ca 1,800 m alt. Flowering: May–June; fruiting: July–September.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Betulaceae&volumeno=14,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alnus&tdcode=06717,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=06718,Alnus nepalensis D.Don,,present,B_core_exact,Alnus nepalensis,3024,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=3024,15.0,28.0,4.0,36.0,1000.0,2000.0,500.0,2500.0,5.5,7.0,5.0,8.0
11.0,Araceae,3. Alocasia,Alocasia,3.0,Alocasia macrorrhizos (L.) G.Don,PENINSULAR: Phuket. See note below.,"Indo-Malesia to Oceania. It is not clear where, if anywhere, this species occurs wild. It was evidently distributed widely in tropical Asia as a subsistence crop in prehistoric times and is now pantropical by introduction as an ornamental. For discussion of the very extensive synonomy see Hay, Wise, Blumea 35, 499–545. 1991, and Hay, Gard. Bull. Singapore 50(2): 221–334, 1998.","Roadside ditches, margins of wet fields, frequently cultivated as an ornamental in a number of selected forms; 0–500 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04855,Alocasia macrorrhizos (L.) G.Don,,missing,B_core_exact,Alocasia macrorrhizos,2486,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=2486,20.0,25.0,10.0,32.0,2500.0,3500.0,2000.0,4200.0,5.7,6.3,5.0,7.3
16.0,Zingiberaceae,1. Alpinia,Alpinia,1.0,Alpinia galanga (L.) Willd.,"Unknown locality (type of Alpinia zingiberina ); NORTHERN: Chiang Mai, Lampang, Phitsanulok; NORTH-EASTERN: Phetchabun, Loei; EASTERN: Ubon Ratchathani; SOUTH-WESTERN: Kanchanaburi; SOUTH-EASTERN: Chanthaburi; PENINSULAR: Surat Thani, Phangnga, Songkhla, Yala.","India, Bangladesh, Myanmar, China, Cambodia, Laos, Malaysia (type of","In open areas in dry evergreen and mixed deciduous forests, 50–1,250 m alt., also cultivated throughout Thailand. Flowering: April–September; fruiting: July–October.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Zingiberaceae&volumeno=16,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alpinia&tdcode=08588,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08591,Alpinia galanga (L.) Willd.,,present,B_core_exact,Alpinia galanga,3052,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=3052,27.0,32.0,20.0,36.0,2500.0,3000.0,2000.0,3700.0,5.5,6.5,5.0,6.8
16.0,Zingiberaceae,1. Alpinia,Alpinia,1.0,Alpinia officinarum Hance,"NORTH-EASTERN: Khon Kaen (Phon, northeastern Plant Collection Centre).","S China (Hainan – type), Vietnam.",Cultivated.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Zingiberaceae&volumeno=16,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alpinia&tdcode=08588,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08600,Alpinia officinarum Hance,,present,B_core_exact,Alpinia officinarum,3054,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=3054,19.0,27.0,15.0,36.0,1500.0,3000.0,1100.0,4000.0,4.5,5.5,4.0,6.0
7.0,Apocynaceae,11. Alstonia,Alstonia,11.0,Alstonia scholaris (L.) R.Br.,"NORTHERN: Mae Hong Son, Chiang Mai, Chiang Rai, Phrae, Phitsanulok; NORTH-EASTERN: Loei, Udon Thani, Sakon Nakhon, Khon Kaen; EASTERN: Nakhon Ratchasima; CENTRAL: Lop Buri, Saraburi, Krung Thep Maha Nakhon (Bangkok); SOUTH-EASTERN: Chon Buri, Chanthaburi, Trat; PENINSULAR: Nakhon Si Thammarat, Trang, Satun, Yala.","From India and Sri Lanka to S China, SE Asia, Malesia (type from Ambon), Queensland, Bismarck Archipelago and the Solomon Islands.","In evergreen, deciduous or mixed forests, in scrub or on forests margins, 150–1,195 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Apocynaceae&volumeno=7,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alstonia&tdcode=02162,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02168,Alstonia scholaris (L.) R.Br.,,present,B_core_exact,Alstonia scholaris,379,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=379,22.0,28.0,12.0,36.0,1200.0,3000.0,1100.0,3800.0,5.5,6.5,4.5,7.5
7.0,Hamamelidaceae,1. Altingia,Altingia,1.0,Altingia excelsa Noronha,"NORTHERN: Chiang Rai, Phitsanulok; EASTERN: Chaiyaphum, Nakhon Ratchasima.","India (type), Burma, China, Vietnam, Laos, Cambodia, Malay Peninsula, Malesia.","Near streams in evergreen forests, 600–800 m alt. Flowering and fruiting: November–February.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Hamamelidaceae&volumeno=7,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Altingia&tdcode=02583,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=02584,Liquidambar excelsa,,present,B_core_exact,Altingia excelsa,3067,A,https://ecocrop.apps.fao.org/ecocrop/srv/en/dataSheet?id=3067,20.0,32.0,10.0,40.0,2000.0,3000.0,1200.0,4000.0,5.0,6.0,4.5,6.5
