volume,family_name,genus_name,genus_label,genus_index_parsed,species_scientific_name,accepted_name,thailand,distribution,ecology,family_url,genus_url,species_url,scraped_at
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia macrorrhizos (L.) G.Don,This is currently accepted.,PENINSULAR: Phuket. See note below.,"Indo-Malesia to Oceania. It is not clear where, if anywhere, this species occurs wild. It was evidently distributed widely in tropical Asia as a subsistence crop in prehistoric times and is now pantropical by introduction as an ornamental. For discussion of the very extensive synonomy see Hay, Wise, Blumea 35, 499–545. 1991, and Hay, Gard. Bull. Singapore 50(2): 221–334, 1998.","Roadside ditches, margins of wet fields, frequently cultivated as an ornamental in a number of selected forms; 0–500 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04855,2025-10-20T18:55:22.163409+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia hypoleuca P.C.Boyce,This is currently accepted.,"SOUTH-EASTERN: Chanthaburi (type: Boyce et al. 204, holotype -BKF).",Endemic.,Dry evergreen forests on granite; ca 500 m alt.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04853,2025-10-20T18:55:24.822582+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,"Alocasia hypnosa J.T.Yin, Y.H.Wang & Z.F.Yu",Englerarum hypnosum,"NORTHERN: Chiang Mai, Chiang Rai, Nan, Lampang, Tak; SOUTH-WESTERN: Kanchanaburi.","SW China (Yunnan – type), Laos.","Humid ledges and in exposed areas of forests regrowth and deciduous, bamboo-dominated forests; always on karst limestone; 800–970 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04852,2025-10-20T18:55:27.599540+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia cucullata (Lour.) G.Don,This is currently accepted.,"No herbarium specimens located, but see note below.","NE India (Sikkim) and south as far as Sri Lanka, China and through Indochina (Vietnam – type) to Taiwan.",Only found in association with human disturbance; 0–900 m alt.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04850,2025-10-20T18:55:30.433727+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia longiloba Miq.,This is currently accepted.,"EASTERN: Nakhon Ratchasima; SOUTH-WESTERN: Phetchaburi; CENTRAL: Nakhon Nayok, Nonthaburi; SOUTH-EASTERN: Prachin Buri, Chanthaburi, Trat; PENINSULAR: Songkhla, Narathiwat.","SW China, Cambodia, Laos, S Vietnam south to Peninsular Malaysia, Sumatra, Borneo, Java (type), Sulawesi.","Rainforests and regrowth understory, in swampy areas and well drained slopes, occasionally on rocks; 0–500 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04854,2025-10-20T18:55:33.299514+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia perakensis Hemsl.,This is currently accepted.,PENINSULAR: Yala.,Peninsular Malaysia (type).,"In montane forests, in leaf litter and on rocks; 1,100–1,525 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04858,2025-10-20T18:55:36.049415+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia acuminata Schott,This is currently accepted.,"NORTHERN: Chiang Mai, Chiang Rai, Phrae; NORTH-EASTERN: Non Khai, Khon Kaen; SOUTH-WESTERN: Kanchanaburi.","NE India (Assam), Nepal, Bangladesh (type), SW China (sight record), N Myanmar, N Laos, N Vietnam (sight record).","Moist areas in dry evergreen forests, sometimes on limestone and granite; 650–1,175 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04849,2025-10-20T18:55:38.943207+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia acuminata Schott,This is currently accepted.,"NORTHERN: Chiang Mai, Chiang Rai, Phrae; NORTH-EASTERN: Non Khai, Khon Kaen; SOUTH-WESTERN: Kanchanaburi.","NE India (Assam), Nepal, Bangladesh (type), SW China (sight record), N Myanmar, N Laos, N Vietnam (sight record).","Moist areas in dry evergreen forests, sometimes on limestone and granite; 650–1,175 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04849,2025-10-20T18:55:41.632630+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia cucullata (Lour.) G.Don,This is currently accepted.,"No herbarium specimens located, but see note below.","NE India (Sikkim) and south as far as Sri Lanka, China and through Indochina (Vietnam – type) to Taiwan.",Only found in association with human disturbance; 0–900 m alt.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04850,2025-10-20T18:55:44.556029+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia fornicata (Roxb.) Schott,This is currently accepted.,SOUTH-EASTERN: Chanthaburi.,"NE India (Meghalaya: Khasia – type), N Myanmar.","Primary and secondary humid evergreen to seasonal evergreen forests, riverbanks; below 1,000 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04851,2025-10-20T18:55:47.452215+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,"Alocasia hypnosa J.T.Yin, Y.H.Wang & Z.F.Yu",Englerarum hypnosum,"NORTHERN: Chiang Mai, Chiang Rai, Nan, Lampang, Tak; SOUTH-WESTERN: Kanchanaburi.","SW China (Yunnan – type), Laos.","Humid ledges and in exposed areas of forests regrowth and deciduous, bamboo-dominated forests; always on karst limestone; 800–970 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04852,2025-10-20T18:55:50.172431+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia hypoleuca P.C.Boyce,This is currently accepted.,"SOUTH-EASTERN: Chanthaburi (type: Boyce et al. 204, holotype -BKF).",Endemic.,Dry evergreen forests on granite; ca 500 m alt.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04853,2025-10-20T18:55:52.998468+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia longiloba Miq.,This is currently accepted.,"EASTERN: Nakhon Ratchasima; SOUTH-WESTERN: Phetchaburi; CENTRAL: Nakhon Nayok, Nonthaburi; SOUTH-EASTERN: Prachin Buri, Chanthaburi, Trat; PENINSULAR: Songkhla, Narathiwat.","SW China, Cambodia, Laos, S Vietnam south to Peninsular Malaysia, Sumatra, Borneo, Java (type), Sulawesi.","Rainforests and regrowth understory, in swampy areas and well drained slopes, occasionally on rocks; 0–500 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04854,2025-10-20T18:55:55.598166+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia macrorrhizos (L.) G.Don,This is currently accepted.,PENINSULAR: Phuket. See note below.,"Indo-Malesia to Oceania. It is not clear where, if anywhere, this species occurs wild. It was evidently distributed widely in tropical Asia as a subsistence crop in prehistoric times and is now pantropical by introduction as an ornamental. For discussion of the very extensive synonomy see Hay, Wise, Blumea 35, 499–545. 1991, and Hay, Gard. Bull. Singapore 50(2): 221–334, 1998.","Roadside ditches, margins of wet fields, frequently cultivated as an ornamental in a number of selected forms; 0–500 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04855,2025-10-20T18:55:58.000553+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia navicularis (K.Koch & C.D.Bouché) K.Koch & C.D.Bouché,This is currently accepted.,"NORTHERN: Chiang Mai, Chiang Rai, Nan, Lampang, Tak.","NE India (Assam – type), Nepal, N Bangladesh, SW China, N Myanmar, N Laos, N Vietnam.","Moist evergreen lower montane forests, sometimes on limestone; 600–1,650 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04856,2025-10-20T18:56:00.614155+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia odora (Lindl.) K.Koch,This is currently accepted.,SOUTH-WESTERN: Kanchanaburi; PENINSULAR: Phuket.,"India (Assam) SW China, through Myanmar (type), Laos, and south as far as SW Cambodia and east to Japan (Ryukyus).","Primary and secondary tropical rain forests, bamboo-thickets, riverbanks, swamps, sometimes on limestone; below 1,700 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04857,2025-10-20T18:56:03.483400+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia perakensis Hemsl.,This is currently accepted.,PENINSULAR: Yala.,Peninsular Malaysia (type).,"In montane forests, in leaf litter and on rocks; 1,100–1,525 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04858,2025-10-20T18:56:06.011376+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia sp. nov. A,This is currently accepted.,NORTH-EASTERN: Nong Khai.,"Known only from sterile material from Nong Khai, Se Ka, Phu Wua Wildlife Sanctuary 18° 09’ 07” N; 103° 57’ 32” E – Pooma et al. 2708 -BKF L [0883612].","Wet rocks in open, dry deciduous forests on sandy soils.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04859,2025-10-20T18:56:08.949485+00:00
11,Araceae,3. Alocasia,Alocasia,3.0,Alocasia sp. nov. B,This is currently accepted.,PENINSULAR: Surat Thani.,"Know only from sterile and fruiting specimens Surat Thani (Khao Phra Rahu – Smitinand & Sleumer 1218 -BKF L, Khao Lak – Smitinand & Sleumer 1200 -BKF L).",forestsed limestone.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Alocasia&tdcode=04848,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04860,2025-10-20T18:56:11.621752+00:00
11,Araceae,8. Ariopsis,Ariopsis,8.0,Ariopsis protanthera N.E.Br.,This is currently accepted.,NORTHERN: Tak; NORTH-EASTERN: Nong Khai.,From NE India (Assam – type) through N Myanmar.,"Dry seasonal evergreen forests, on rocks by streams; ca 300 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ariopsis&tdcode=04931,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04932,2025-10-20T18:56:18.518992+00:00
11,Araceae,25. Steudnera,Steudnera,25.0,Steudnera kerrii Gagnep.,This is currently accepted.,NORTHERN.,"Laos, N Vietnam.",Evergreen wet or perhumid hill forests by streams; apparently always on limestone.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Steudnera&tdcode=05049,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05052,2025-10-20T18:56:25.661861+00:00
11,Araceae,25. Steudnera,Steudnera,25.0,Steudnera colocasiifolia K.Koch,This is currently accepted.,NORTHERN.,"NE India, Bangladesh, SW China, Myanmar.",Seasonally moist lowland forests.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Steudnera&tdcode=05049,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05050,2025-10-20T18:56:28.328536+00:00
11,Araceae,25. Steudnera,Steudnera,25.0,Steudnera discolor W.Bull,This is currently accepted.,NORTHERN: Chiang Rai.,"NE India, Bangladesh, Myanmar.",Seasonally moist lowland forests.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Steudnera&tdcode=05049,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05051,2025-10-20T18:56:31.026002+00:00
11,Araceae,25. Steudnera,Steudnera,25.0,Steudnera colocasiifolia K.Koch,This is currently accepted.,NORTHERN.,"NE India, Bangladesh, SW China, Myanmar.",Seasonally moist lowland forests.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Steudnera&tdcode=05049,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05050,2025-10-20T18:56:33.739388+00:00
11,Araceae,25. Steudnera,Steudnera,25.0,Steudnera discolor W.Bull,This is currently accepted.,NORTHERN: Chiang Rai.,"NE India, Bangladesh, Myanmar.",Seasonally moist lowland forests.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Steudnera&tdcode=05049,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05051,2025-10-20T18:56:36.383664+00:00
11,Araceae,25. Steudnera,Steudnera,25.0,Steudnera kerrii Gagnep.,This is currently accepted.,NORTHERN.,"Laos, N Vietnam.",Evergreen wet or perhumid hill forests by streams; apparently always on limestone.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Steudnera&tdcode=05049,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=05052,2025-10-20T18:56:39.138357+00:00
11,Araceae,13. Hapaline,Hapaline,13.0,Hapaline brownii Hook.f.,This is currently accepted.,SOUTH-EASTERN: Trat; PENINSULAR: Phuket.,Malay Peninsula (type).,"Disturbed mixed dipterocarp forests on river banks, on limestone; 20–150 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Hapaline&tdcode=04984,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04986,2025-10-20T18:56:45.996446+00:00
11,Araceae,13. Hapaline,Hapaline,13.0,Hapaline kerrii Gagnep.,This is currently accepted.,"EASTERN: Chaiyaphum; CENTRAL: Saraburi; PENINSULAR: Satun: (type: Kerr 14640, holotype -K, isotype -BK).",Endemic.,"Lowland evergreen forests, in crevices of limestone rocks.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Hapaline&tdcode=04984,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04988,2025-10-20T18:56:48.681333+00:00
11,Araceae,13. Hapaline,Hapaline,13.0,Hapaline colaniae Gagnep.,This is currently accepted.,EASTERN: Chaiyaphum.,Vietnam (type).,Not record.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Hapaline&tdcode=04984,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04987,2025-10-20T18:56:51.378507+00:00
11,Araceae,13. Hapaline,Hapaline,13.0,Hapaline benthamiana Schott,This is currently accepted.,"NORTHERN: Mae Hong Son, Chiang Mai, Lamphun, Lampang, Tak; NORTH-EASTERN: Loei, Nakhon Phanom; EASTERN: Chaiyaphum; SOUTH-WESTERN: Ratchaburi; SOUTH-EASTERN: Chanthaburi.","Myanmar (type), Laos, Vietnam.","Evergreen moist to degraded mixed deciduous forests or bamboo forests, on granite or limestone; 60–1,200 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Hapaline&tdcode=04984,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04985,2025-10-20T18:56:54.031102+00:00
11,Araceae,13. Hapaline,Hapaline,13.0,Hapaline benthamiana Schott,This is currently accepted.,"NORTHERN: Mae Hong Son, Chiang Mai, Lamphun, Lampang, Tak; NORTH-EASTERN: Loei, Nakhon Phanom; EASTERN: Chaiyaphum; SOUTH-WESTERN: Ratchaburi; SOUTH-EASTERN: Chanthaburi.","Myanmar (type), Laos, Vietnam.","Evergreen moist to degraded mixed deciduous forests or bamboo forests, on granite or limestone; 60–1,200 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Hapaline&tdcode=04984,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04985,2025-10-20T18:56:56.751850+00:00
11,Araceae,13. Hapaline,Hapaline,13.0,Hapaline brownii Hook.f.,This is currently accepted.,SOUTH-EASTERN: Trat; PENINSULAR: Phuket.,Malay Peninsula (type).,"Disturbed mixed dipterocarp forests on river banks, on limestone; 20–150 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Hapaline&tdcode=04984,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04986,2025-10-20T18:56:59.545445+00:00
11,Araceae,13. Hapaline,Hapaline,13.0,Hapaline colaniae Gagnep.,This is currently accepted.,EASTERN: Chaiyaphum.,Vietnam (type).,Not record.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Hapaline&tdcode=04984,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04987,2025-10-20T18:57:02.259326+00:00
11,Araceae,13. Hapaline,Hapaline,13.0,Hapaline kerrii Gagnep.,This is currently accepted.,"EASTERN: Chaiyaphum; CENTRAL: Saraburi; PENINSULAR: Satun: (type: Kerr 14640, holotype -K, isotype -BK).",Endemic.,"Lowland evergreen forests, in crevices of limestone rocks.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Hapaline&tdcode=04984,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04988,2025-10-20T18:57:05.144974+00:00
11,Araceae,26. Typhonium,Typhonium,26.0,Typhonium albispathum Bogner,This is currently accepted.,"PENINSULAR: Phangnga (type: Larsen 33700, holotype -AAU, isotype -M).",Endemic.,"Evergreen hill forests on limestone; 1,000–1,300 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Typhonium&tdcode=05053,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05057,2025-10-20T18:57:12.129446+00:00
11,Araceae,26. Typhonium,Typhonium,26.0,Typhonium gallowayi Hett. & Sookch.,This is currently accepted.,"EASTERN: no further locality data (type: Galloway AGA-516, holotype -BKF).",Endemic.,Not recorded.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Typhonium&tdcode=05053,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05066,2025-10-20T18:57:14.804854+00:00
11,Araceae,26. Typhonium,Typhonium,26.0,Typhonium smitinandii Sookch. & J.Murata,This is currently accepted.,"PENINSULAR: Krabi (type: Smitinand 12243, holotype -BKF).",Endemic.,Limestone.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Typhonium&tdcode=05053,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05079,2025-10-20T18:57:17.535955+00:00
11,Araceae,26. Typhonium,Typhonium,26.0,Typhonium pedunculatum Hett. & Sookch.,This is currently accepted.,"SOUTH-EASTERN: Prachin Buri; EASTERN: Buri Ram (type: Hetterscheid H.AR. 161-T, holotype -BKF).",Endemic.,Not recorded.,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Araceae&volumeno=11,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Typhonium&tdcode=05053,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=05072,2025-10-20T18:57:20.287865+00:00
